"description","gene","gene_biotype"
"uncharacterized LOC111102028","LOC111102028","lncRNA"
"uncharacterized LOC111127247","LOC111127247","protein_coding"
"uncharacterized LOC144622232","LOC144622232","protein_coding"
"uncharacterized LOC144624450","LOC144624450","protein_coding"
"uncharacterized LOC144623104","LOC144623104","protein_coding"
"uncharacterized LOC111116266","LOC111116266","lncRNA"
"uncharacterized LOC144624833","LOC144624833","lncRNA"
"spore cortex-lytic enzyme-like","LOC144624971","protein_coding"
"lectin BRA-3-like","LOC144625005","protein_coding"
"uncharacterized LOC111116296","LOC111116296","lncRNA"
"uncharacterized LOC144626817","LOC144626817","lncRNA"
"uncharacterized LOC111099077","LOC111099077","protein_coding"
"uncharacterized LOC111136642","LOC111136642","protein_coding"
"tyrosinase-like protein 1","LOC111132872","protein_coding"
"uncharacterized LOC144627224","LOC144627224","protein_coding"
"uncharacterized LOC144619016","LOC144619016","protein_coding"
"uncharacterized LOC144619236","LOC144619236","protein_coding"
"uncharacterized LOC111128708","LOC111128708","protein_coding"
"uncharacterized LOC144619617","LOC144619617","protein_coding"
"uncharacterized LOC111130993","LOC111130993","protein_coding"
"uncharacterized LOC111118775","LOC111118775","protein_coding"
"microfibril-associated glycoprotein 4-like","LOC111119065","protein_coding"
"sodium/hydrogen exchanger 9B2-like","LOC111118161","protein_coding"
"uncharacterized LOC111114163","LOC111114163","protein_coding"
"uncharacterized LOC144621228","LOC144621228","protein_coding"
"uncharacterized LOC144621324","LOC144621324","protein_coding"
"uncharacterized LOC111114643","LOC111114643","protein_coding"
"uncharacterized LOC144621941","LOC144621941","protein_coding"
